accession	description
"GCA_017560725.1"	"ASM1756072v1 assembly for Clostridia bacterium"
"GCA_017560745.1"	"ASM1756074v1 assembly for Bacteroidaceae bacterium"
"GCA_017560755.1"	"ASM1756075v1 assembly for Phascolarctobacterium sp."
"GCA_017560855.1"	"ASM1756085v1 assembly for Ruminiclostridium sp."
"GCA_017628155.1"	"ASM1762815v1 assembly for Clostridia bacterium"
"GCA_017628165.1"	"ASM1762816v1 assembly for Kiritimatiellia bacterium"
"GCA_017652745.1"	"ASM1765274v1 assembly for Lachnospiraceae bacterium"
"GCA_017652765.1"	"ASM1765276v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017652785.1"	"ASM1765278v1 assembly for Paludibacteraceae bacterium"
"GCA_017652925.1"	"ASM1765292v1 assembly for Clostridia bacterium"
"GCA_017652935.1"	"ASM1765293v1 assembly for Bacteroidales bacterium"
"GCA_017652965.1"	"ASM1765296v1 assembly for Clostridia bacterium"
"GCA_017848005.1"	"ASM1784800v1 assembly for Oscillospiraceae bacterium"
"GCA_017848075.1"	"ASM1784807v1 assembly for Oscillospiraceae bacterium"
"GCA_017848125.1"	"ASM1784812v1 assembly for Oscillospiraceae bacterium"
"GCA_017848175.1"	"ASM1784817v1 assembly for Oscillospiraceae bacterium"
"GCA_017848195.1"	"ASM1784819v1 assembly for Oscillospiraceae bacterium"
"GCA_017848235.1"	"ASM1784823v1 assembly for Oscillospiraceae bacterium"
"GCA_017848255.1"	"ASM1784825v1 assembly for Lachnospiraceae bacterium"
"GCA_017848275.1"	"ASM1784827v1 assembly for Victivallales bacterium"
"GCA_017848335.1"	"ASM1784833v1 assembly for Clostridia bacterium"
"GCA_017935005.1"	"ASM1793500v1 assembly for Anaerotignum sp."
"GCA_017935065.1"	"ASM1793506v1 assembly for Clostridia bacterium"
"GCA_017935095.1"	"ASM1793509v1 assembly for Ruminococcus sp."
"GCA_017935145.1"	"ASM1793514v1 assembly for Oscillospiraceae bacterium"
"GCA_017935165.1"	"ASM1793516v1 assembly for Clostridia bacterium"
"GCA_017935195.1"	"ASM1793519v1 assembly for Clostridia bacterium"
"GCA_017935225.1"	"ASM1793522v1 assembly for Clostridia bacterium"
"GCA_017935245.1"	"ASM1793524v1 assembly for Alphaproteobacteria bacterium"
"GCA_017935265.1"	"ASM1793526v1 assembly for Clostridia bacterium"
"GCA_017935325.1"	"ASM1793532v1 assembly for Clostridia bacterium"
"GCA_017935365.1"	"ASM1793536v1 assembly for Ruminiclostridium sp."
"GCA_017935405.1"	"ASM1793540v1 assembly for Peptococcaceae bacterium"
"GCA_017935425.1"	"ASM1793542v1 assembly for Clostridia bacterium"
"GCA_017935515.1"	"ASM1793551v1 assembly for Clostridia bacterium"
"GCA_017935525.1"	"ASM1793552v1 assembly for Clostridia bacterium"
"GCA_017935575.1"	"ASM1793557v1 assembly for Bacteroidales bacterium"
"GCA_017940685.1"	"ASM1794068v1 assembly for Butyrivibrio sp."
"GCA_017940705.1"	"ASM1794070v1 assembly for Selenomonas sp."
"GCA_017940765.1"	"ASM1794076v1 assembly for Prevotella sp."
"GCA_017940805.1"	"ASM1794080v1 assembly for Ruminococcus sp."
"GCA_017940835.1"	"ASM1794083v1 assembly for Bacteroidales bacterium"
"GCA_017940865.1"	"ASM1794086v1 assembly for Ruminococcus sp."
"GCA_017940885.1"	"ASM1794088v1 assembly for Bacilli bacterium"
"GCA_017940945.1"	"ASM1794094v1 assembly for Acidaminococcaceae bacterium"
"GCA_017940985.1"	"ASM1794098v1 assembly for Eubacterium sp."
"GCA_017941025.1"	"ASM1794102v1 assembly for Butyrivibrio sp."
"GCA_017941055.1"	"ASM1794105v1 assembly for Bacteroidaceae bacterium"
"GCA_017941105.1"	"ASM1794110v1 assembly for Prevotella sp."
"GCA_017941135.1"	"ASM1794113v1 assembly for Bacteroidaceae bacterium"
"GCA_017941185.1"	"ASM1794118v1 assembly for Bacteroidaceae bacterium"
"GCA_017400615.1"	"ASM1740061v1 assembly for Bacteroidales bacterium"
"GCA_017412185.1"	"ASM1741218v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017412205.1"	"ASM1741220v1 assembly for Treponema sp."
"GCA_017412225.1"	"ASM1741222v1 assembly for Succinivibrio sp."
"GCA_017412245.1"	"ASM1741224v1 assembly for Paludibacteraceae bacterium"
"GCA_017412265.1"	"ASM1741226v1 assembly for Lachnospiraceae bacterium"
"GCA_017412285.1"	"ASM1741228v1 assembly for Bacteroidales bacterium"
"GCA_017412305.1"	"ASM1741230v1 assembly for Paludibacteraceae bacterium"
"GCA_017420165.1"	"ASM1742016v1 assembly for Clostridia bacterium"
"GCA_017420225.1"	"ASM1742022v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017426285.1"	"ASM1742628v1 assembly for Erysipelotrichaceae bacterium"
